id	parentId	type	text	options	target	signal
START	null	start	End of day. Before you close out — take 3 minutes. Not to review your tasks. To notice how you showed up. There are no right answers here. Just honest ones.	[{"label": "I'm ready", "target": "A1_INTRO"}]		
A1_INTRO	START	reflection	Axis 1 of 3: Locus. We're going to look at how you related to today's events — not what happened, but how you positioned yourself inside what happened.	[{"label": "Continue", "target": "A1_Q1"}]		
A1_Q1	A1_INTRO	question	Something didn't go as planned today. When you replay that moment — what's the clearest thought you remember having?	[{"label": "I kept trying to figure out what I could actually change", "target": "A1_R1_INT", "signal": "axis1:internal"}, {"label": "I kept noticing what was working against me", "target": "A1_R1_EXT", "signal": "axis1:external"}, {"label": "I moved past it quickly — dwelling felt unproductive", "target": "A1_R1_INT", "signal": "axis1:internal"}, {"label": "I felt like the situation had a logic I couldn't override", "target": "A1_R1_EXT", "signal": "axis1:external"}, {"label": "I wasn't sure if there was anything to do differently", "target": "A1_R1_MID", "signal": "axis1:external"}]		
A1_R1_INT	A1_Q1	reflection	You stayed in contact with your own influence — even in a situation that had friction. That's not optimism. It's a specific skill: locating the edge of what you can shape. Notice it without over-crediting yourself.	[{"label": "Continue", "target": "A1_Q2_INT"}]		axis1:internal
A1_R1_EXT	A1_Q1	reflection	When conditions feel heavy, that weight is real. What's worth examining is whether the weight was in the situation — or in the interpretation of it. Sometimes both are true, and the distinction matters more than it seems.	[{"label": "Continue", "target": "A1_Q2_EXT"}]		axis1:external
A1_R1_MID	A1_Q1	reflection	Uncertainty about your own agency is honest — and surprisingly common. It often means the situation was genuinely constrained. The question isn't whether you had full control. It's whether you noticed the partial control you did have.	[{"label": "Continue", "target": "A1_Q2_EXT"}]		axis1:external
A1_Q2_INT	A1_R1_INT	question	You identified where you had influence. What did you actually do with that awareness?	[{"label": "I made a decision and acted on it, even if imperfectly", "target": "A1_D1", "signal": "axis1:internal"}, {"label": "I recognized my options but hesitated to use them", "target": "A1_D1", "signal": "axis1:internal"}, {"label": "I tried to change the situation and it still didn't work — but I tried", "target": "A1_D1", "signal": "axis1:internal"}, {"label": "I realized later I had more room to move than I thought at the time", "target": "A1_D1", "signal": "axis1:internal"}]		
A1_Q2_EXT	A1_R1_EXT	question	When you felt blocked today — what was the story you told yourself about why things weren't moving?	[{"label": "This system is set up in a way that makes progress hard", "target": "A1_D1", "signal": "axis1:external"}, {"label": "Other people's choices constrained what I could do", "target": "A1_D1", "signal": "axis1:external"}, {"label": "I didn't have the information or resources I needed", "target": "A1_D1", "signal": "axis1:external"}, {"label": "I wasn't sure if the block was real or if I was avoiding something harder", "target": "A1_D1", "signal": "axis1:internal"}]		
A1_D1	A1_Q2_INT	decision	[Route based on axis1 signal dominance]	[]	A1_Q3_INT	
A1_Q3_INT	A1_D1	question	Think about a moment today where something genuinely was outside your control. How did you carry that?	[{"label": "I accepted it and redirected my energy", "target": "A1_R2_INT", "signal": "axis1:internal"}, {"label": "I kept trying to solve what couldn't be solved — and it drained me", "target": "A1_R2_MID", "signal": "axis1:external"}, {"label": "I named it as a constraint and moved around it", "target": "A1_R2_INT", "signal": "axis1:internal"}, {"label": "I felt the frustration but didn't let it define the rest of the day", "target": "A1_R2_INT", "signal": "axis1:internal"}]		
